date,prcp
2017-07-16,0.02
2017-07-16,0.12
2017-07-16,0.00
2017-07-16,0.10
2017-07-16,0.50
2017-07-16,0.07
2017-07-17,0.39
2017-07-17,0.03
2017-07-17,0.16
2017-07-17,0.21
2017-07-17,0.12
2017-07-17,0.00
2017-07-18,0.05
2017-07-18,2.40
2017-07-18,0.03
2017-07-18,0.05
2017-07-18,0.00
2017-07-18,0.00
2017-07-18,0.00
2017-07-19,0.00
2017-07-19,0.09
2017-07-19,0.00
2017-07-19,0.27
2017-07-19,0.05
2017-07-19,0.00
2017-07-20,0.70
2017-07-20,0.33
2017-07-20,0.00
2017-07-20,0.03
2017-07-20,0.06
2017-07-20,0.12
2017-07-20,0.00
2017-07-21,0.00
2017-07-21,0.00
2017-07-21,0.00
2017-07-21,0.03
2017-07-21,0.10
2017-07-21,0.00
2017-07-21,0.00
2017-07-22,0.03
2017-07-22,4.00
2017-07-22,0.07
2017-07-22,0.00
2017-07-22,0.12
2017-07-22,0.20
2017-07-23,0.00
2017-07-23,0.80
2017-07-23,0.20
2017-07-23,0.07
2017-07-23,0.06
2017-07-24,0.05
2017-07-24,0.61
2017-07-24,0.84
2017-07-24,0.58
2017-07-24,1.19
2017-07-25,0.05
2017-07-25,0.03
2017-07-25,0.00
2017-07-25,0.00
2017-07-25,0.30
2017-07-25,0.11
2017-07-25,0.12
2017-07-26,0.30
2017-07-26,0.02
2017-07-26,0.00
2017-07-26,0.00
2017-07-26,0.12
2017-07-26,0.06
2017-07-27,0.01
2017-07-27,0.00
2017-07-27,0.00
2017-07-27,0.00
2017-07-27,0.00
2017-07-27,0.00
2017-07-28,0.14
2017-07-28,0.00
2017-07-28,0.13
2017-07-28,0.40
2017-07-28,0.00
2017-07-28,0.01
2017-07-28,0.09
2017-07-29,0.02
2017-07-29,0.00
2017-07-29,0.30
2017-07-29,0.06
2017-07-29,0.00
2017-07-29,0.23
2017-07-30,0.00
2017-07-30,0.00
2017-07-30,0.30
2017-07-30,0.00
2017-07-30,0.00
2017-07-31,0.00
2017-07-31,0.00
2017-07-31,0.00
2017-07-31,0.00
2017-07-31,0.00
2017-08-01,0.02
2017-08-01,0.12
2017-08-01,0.00
2017-08-02,0.00
2017-08-02,0.00
2017-08-02,0.05
2017-08-02,0.25
2017-08-03,0.06
2017-08-03,0.00
2017-08-03,0.00
2017-08-03,0.01
2017-08-04,0.04
2017-08-04,0.02
2017-08-04,0.00
2017-08-04,0.00
2017-08-05,0.06
2017-08-05,0.00
2017-08-06,0.00
2017-08-06,0.00
2017-08-06,0.00
2017-08-06,0.00
2017-08-07,0.05
2017-08-07,0.00
2017-08-07,0.00
2017-08-07,0.00
2017-08-08,0.34
2017-08-08,0.10
2017-08-08,0.00
2017-08-08,0.00
2017-08-09,0.00
2017-08-09,0.15
2017-08-09,0.00
2017-08-10,0.07
2017-08-10,0.00
2017-08-10,0.00
2017-08-10,0.00
2017-08-11,0.00
2017-08-11,0.00
2017-08-11,0.00
2017-08-12,0.14
2017-08-12,0.00
2017-08-12,0.00
2017-08-13,0.00
2017-08-13,0.00
2017-08-13,0.00
2017-08-14,0.08
2017-08-14,0.00
2017-08-14,0.01
2017-08-14,0.22
2017-08-14,0.00
2017-08-15,0.42
2017-08-15,0.32
2017-08-15,0.06
2017-08-15,0.00
2017-08-15,0.02
2017-08-16,0.12
2017-08-16,0.07
2017-08-16,0.00
2017-08-16,0.42
2017-08-17,0.05
2017-08-17,0.13
2017-08-17,0.00
2017-08-17,0.01
2017-08-18,0.06
2017-08-18,0.00
2017-08-18,0.00
2017-08-19,0.00
2017-08-19,0.00
2017-08-19,0.09
2017-08-20,0.00
2017-08-20,0.01
2017-08-21,0.00
2017-08-21,0.02
2017-08-21,0.56
2017-08-22,0.00
2017-08-22,0.00
2017-08-22,0.50
2017-08-23,0.00
2017-08-23,0.00
2017-08-23,0.08
2017-08-23,0.45
